Date,Day_of_the_week,App,Minutes,Category
8/27/23,Sunday,TIKTOK,126,Entertainment
8/27/23,Sunday,SNAPCHAT,59,Social Media
8/27/23,Sunday,SAFARI,50,Other
8/27/23,Sunday,INSTAGRAM,36,Social Media
8/27/23,Sunday,X,35,Social Media
8/27/23,Sunday,MESSAGES,32,Other
8/28/23,Monday,TIKTOK,43,Entertainment
8/28/23,Monday,INSTAGRAM,33,Social Media
8/28/23,Monday,SNAPCHAT,31,Social Media
8/28/23,Monday,MESSAGES,23,Other
8/28/23,Monday,SAFARI,19,Other
8/28/23,Monday,MUSIC,12,Entertainment
8/29/23,Tuesday,SNAPCHAT,101,Social Media
8/29/23,Tuesday,INSTAGRAM,78,Social Media
8/29/23,Tuesday,TIKTOK,55,Entertainment
8/29/23,Tuesday,MESSAGES,53,Other
8/29/23,Tuesday,SAFARI,21,Other
8/29/23,Tuesday,MUSIC,15,Entertainment
8/30/23,Wednesday,SNAPCHAT,113,Social Media
8/30/23,Wednesday,TIKTOK,78,Entertainment
8/30/23,Wednesday,MESSAGES,30,Other
8/30/23,Wednesday,INSTAGRAM,29,Social Media
8/30/23,Wednesday,SAFARI,21,Other
8/30/23,Wednesday,MUSIC,15,Entertainment
8/31/23,Thursday,SNAPCHAT,139,Social Media
8/31/23,Thursday,INSTAGRAM,34,Social Media
8/31/23,Thursday,X,28,Social Media
8/31/23,Thursday,TIKTOK,26,Entertainment
8/31/23,Thursday,SAFARI,20,Other
8/31/23,Thursday,MESSAGES,10,Other
8/31/23,Thursday,MUSIC,9,Entertainment
9/1/23,Friday,SNAPCHAT,285,Social Media
9/1/23,Friday,TIKTOK,73,Entertainment
9/1/23,Friday,MESSAGES,36,Other
9/1/23,Friday,INSTAGRAM,35,Social Media
9/1/23,Friday,MUSIC,16,Entertainment
9/1/23,Friday,SAFARI,13,Other
9/1/23,Friday,X,11,Social Media
9/2/23,Saturday,TIKTOK,195,Entertainment
9/2/23,Saturday,SNAPCHAT,180,Social Media
9/2/23,Saturday,INSTAGRAM,46,Social Media
9/2/23,Saturday,YOUTUBE,31,Entertainment
9/2/23,Saturday,MUSIC,25,Entertainment
9/2/23,Saturday,SAFARI,23,Other
9/2/23,Saturday,X,23,Social Media